Acari 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	11106 pessoas
Açu 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	58743 pessoas
Afonso Bezerra 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	11024 pessoas
Água Nova 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	3293 pessoas
Alexandria 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	13529 pessoas
Almino Afonso 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	4685 pessoas
Alto do Rodrigues 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	14923 pessoas
Angicos 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	11695 pessoas
Antônio Martins 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	7162 pessoas
Apodi 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	35904 pessoas
Areia Branca 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	28156 pessoas
Arês 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	14526 pessoas
Campo Grande 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	9686 pessoas
Baía Formosa 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	9373 pessoas
Baraúna 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	29112 pessoas
Barcelona 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	3989 pessoas
Bento Fernandes 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	5552 pessoas
Bodó 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	2171 pessoas
Bom Jesus 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	10323 pessoas
Brejinho 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	12873 pessoas
Caiçara do Norte 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	6572 pessoas
Caiçara do Rio do Vento 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	3745 pessoas
Caicó 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	68726 pessoas
Campo Redondo 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	11363 pessoas
Canguaretama 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	34814 pessoas
Caraúbas 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	20588 pessoas
Carnaúba dos Dantas 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	8297 pessoas
Carnaubais 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	10972 pessoas
Ceará-Mirim 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	74268 pessoas
Cerro Corá 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	11182 pessoas
Coronel Ezequiel 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	5501 pessoas
Coronel João Pessoa 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	4918 pessoas
Cruzeta 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	7968 pessoas
Currais Novos 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	45022 pessoas
Doutor Severiano 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	7068 pessoas
Encanto 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	5697 pessoas
Equador 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	6064 pessoas
Espírito Santo 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	10463 pessoas
Extremoz 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	29282 pessoas
Felipe Guerra 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	6009 pessoas
Fernando Pedroza 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	3081 pessoas
Florânia 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	9772 pessoas
Francisco Dantas 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	2801 pessoas
Frutuoso Gomes 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	4015 pessoas
Galinhos 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	2903 pessoas
Goianinha 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	27004 pessoas
Governador Dix-Sept Rosado 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	13115 pessoas
Grossos 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	10541 pessoas
Guamaré 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	16261 pessoas
Ielmo Marinho 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	14033 pessoas
Ipanguaçu 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	15759 pessoas
Ipueira 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	2264 pessoas
Itajá 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	7641 pessoas
Itaú 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	5916 pessoas
Jaçanã 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	9341 pessoas
Jandaíra 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	6907 pessoas
Janduís 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	5228 pessoas
Januário Cicco 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	10367 pessoas
Japi 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	4935 pessoas
Jardim de Angicos 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	2600 pessoas
Jardim de Piranhas 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	15044 pessoas
Jardim do Seridó 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	12397 pessoas
João Câmara 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	35360 pessoas
João Dias 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	2653 pessoas
José da Penha 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	5941 pessoas
Jucurutu 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	18335 pessoas
Jundiá 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	3945 pessoas
Lagoa d'Anta 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	6851 pessoas
Lagoa de Pedras 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	7624 pessoas
Lagoa de Velhos 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	2732 pessoas
Lagoa Nova 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	15880 pessoas
Lagoa Salgada 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	8348 pessoas
Lajes 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	11410 pessoas
Lajes Pintadas 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	4768 pessoas
Lucrécia 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	4053 pessoas
Luís Gomes 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	10175 pessoas
Macaíba 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	82828 pessoas
Macau 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	32260 pessoas
Major Sales 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	4102 pessoas
Marcelino Vieira 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	8325 pessoas
Martins 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	8790 pessoas
Maxaranguape 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	12714 pessoas
Messias Targino 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	4665 pessoas
Montanhas 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	11166 pessoas
Monte Alegre 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	22698 pessoas
Monte das Gameleiras 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	2063 pessoas
Mossoró 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	303792 pessoas
Natal 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	896708 pessoas
Nísia Floresta 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	28266 pessoas
Nova Cruz 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	37554 pessoas
Olho d'Água do Borges 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	4231 pessoas
Ouro Branco 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	4813 pessoas
Paraná 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	4298 pessoas
Paraú 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	3732 pessoas
Parazinho 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	5307 pessoas
Parelhas 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	21611 pessoas
Parnamirim 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	272490 pessoas
Passa e Fica 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	13667 pessoas
Passagem 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	3114 pessoas
Patu 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	12861 pessoas
Pau dos Ferros 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	30802 pessoas
Pedra Grande 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	3163 pessoas
Pedra Preta 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	2419 pessoas
Pedro Avelino 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	6591 pessoas
Pedro Velho 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	14881 pessoas
Pendências 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	15411 pessoas
Pilões 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	3900 pessoas
Poço Branco 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	15646 pessoas
Portalegre 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	7944 pessoas
Porto do Mangue 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	6605 pessoas
Pureza 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	9825 pessoas
Rafael Fernandes 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	5158 pessoas
Rafael Godeiro 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	3214 pessoas
Riacho da Cruz 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	3648 pessoas
Riacho de Santana 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	4194 pessoas
Riachuelo 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	8310 pessoas
Rio do Fogo 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	10961 pessoas
Rodolfo Fernandes 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	4457 pessoas
Ruy Barbosa 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	3584 pessoas
Santa Cruz 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	40295 pessoas
Santa Maria 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	5689 pessoas
Santana do Matos 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	11808 pessoas
Santana do Seridó 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	2699 pessoas
Santo Antônio 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	24422 pessoas
São Bento do Norte 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	2687 pessoas
São Bento do Trairí 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	4541 pessoas
São Fernando 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	3606 pessoas
São Francisco do Oeste 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	4281 pessoas
São Gonçalo do Amarante 	potiguar, norte-rio-grandense, rio-grandense-do-norte 	104919 pessoas
